id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
lp-206-11,LP 206-11,42.7,,107.798,43.499073611111115,M5.5V,,15.9,15.3,76.4,
g-253-6,G 253-6,42.7,,118.96348750000001,83.3820436111111,M5.0V,,,,76.385,
l-194-11,L 194-11,42.7,,187.386775,-55.99722972222222,M4V,,13.3,12.7,76.353,
gaia-edr3-505516521175942784,Ross 15,42.8,,29.850720833333334,58.52028388888889,M4Ve,,12.2,11.6,76.291,
g-50-12,G 50-12,42.8,,119.5364375,7.283595277777778,M5V,,,,76.281,
gaia-edr3-2021981409373336448,Gaia EDR3 2021981409373336448,42.8,,295.1773166666667,26.114698333333333,,,,,76.225,
rgo-7809,RGO 7809,42.8,,14.171666666666667,-29.738581944444444,,,14.4,13.8,76.2,
bd-11-2741,BD-11 2741,42.8,,147.79534999999998,-12.336323611111112,dM0.5,,10,9.4,76.164,
hd-211970,HD 211970,42.8,,335.566125,-54.55956805555555,K7Vk: C,0.61,9,8.4,76.159,
g-172-30,G 172-30,42.9,,14.265158333333332,45.085750000000004,M3.0Ve,0.33,12,11.4,76.11,
g-161-71,G 161-71,42.9,,146.22432916666665,-12.348259166666667,M5.0V,,13.6,13.1,76.051,
g-195-57,G 195-57,42.9,,152.37176666666667,51.28512055555555,M4.65,,,,76.014,
gliese-3403,Gliese 3403,42.9,,99.9037875,-55.60962611111111,M0Vk:,,9.9,9.3,75.949,
ross-10,Ross 10,43,,24.588479166666666,57.23095388888889,M2.5Ve C,,11.3,10.7,75.886,
hd-170657,HD 170657,43,,277.8283666666666,-18.9096825,K2V,0.79,6.8,6.2,75.848,
cd-53-570,CD-53 570,43.1,,42.539720833333334,-53.13673333333333,M1.5,,10.7,10.1,75.721,
hd-166348,HD 166348,43.1,,273.08996666666667,-43.44670333333333,K7V,,8.4,7.8,75.712,
hd-29697,HD 29697,43.1,,70.32746250000001,20.900382777777775,K4V,0.75,8,7.4,75.687,
2mass-j18242359-0536488,2MASS J1824-0536,43.1,,276.09852916666665,-5.61567,,,,,75.671,
g-237-64,G 237-64,43.1,,185.89106666666666,67.18789527777778,M2.5Ve,,,,75.616,
ross-28,Ross 28,43.1,,63.245175,52.611672500000005,M4.0Ve,,,,75.61,
2mass-j0500-0330,2MASS J0500+0330,43.1,,75.08761249999999,3.5123475,L4pec,,,,75.608,
g-154-43,G 154-43,43.1,,270.90098333333333,-18.982054444444444,M5.0V,,14.1,13.5,75.604,
lp-500-35,LP 500-35,43.1,,217.01564583333334,13.934833611111111,M7V,,17.7,17,75.588,
bd-57-2735,BD+57 2735,43.2,,351.12665,57.85305694444445,M1.5Ve,,,,75.572,
hd-128165,HD 128165,43.2,,218.36889166666668,52.90989305555556,K3V,0.78,,,75.569,
lp-35-347,LP 35-347,43.2,,126.47021666666666,69.03365777777778,M7V,,,,75.55,
58-eridani,58 Eridani,43.2,,71.90184583333334,-16.933703055555554,G2.5IV-V,1.053,5.5,4.9,75.529,
lp-912-33,LP 912-33,43.2,,209.30432083333332,-29.375885,M3,,12.5,11.9,75.509,
g-44-42,G 44-42,43.2,,163.01253333333335,13.998469444444444,M4V,,12.7,12.1,75.494,
lp-21-224,LP 21-224,43.2,,208.41632083333332,77.61886333333332,M4.0V,,,,75.48,
2mass-j11220826-3512363,2MASS J11220826-3512363,43.2,,170.53362083333334,-35.211312500000005,T2,,,,75.438,
ssspm-j0306-3648,SSSPM J0306-3648,43.2,,46.547379166666666,-36.80098944444444,M8.7V,,19.2,18.6,75.418,
lp-255-11,LP 255-11,43.3,,105.84624166666667,34.69823333333333,M4.0V,,,,75.346,
hd-214749,HD 214749,43.3,,340.1827416666667,-29.674554166666667,K4.5Vk,,7.8,7.2,75.325,
bd-07-4156,BD-07 4156,43.3,,239.97336666666666,-8.253319444444445,M1V,,10.5,9.9,75.294,
g-23-24,G 23-24,43.3,,300.9603041666667,5.992067777777778,M2.5Ve,,,,75.255,
lp-801-9,LP 801-9,43.4,,221.85047916666664,-17.70590083333333,DC10,,16.5,15.8,75.195,
2mass-j1225-2739,2MASS J1225-2739,43.4,,186.47638333333333,-27.66296611111111,T5.5+T8,,,,75.1,
2mass-j16283855-2308241,2MASS J16283855+2308241,43.4,,247.16064999999998,23.140055,T7.0,,,,75.1,
2mass-j15530228-1532369,2MASS J15530228+1532369,43.4,,238.25950416666666,15.543586944444444,T6.5+T7.5,,,,75.1,
lp-357-56,LP 357-56,43.5,,58.6911625,24.27252222222222,,,,,74.989,
wt-765,WT 765,43.5,,315.269725,-49.10774861111111,DA,,15.4,14.8,74.946,
scr-j0128-1458,SCR J0128-1458,43.5,,22.164645833333335,-14.968106111111112,,,13.6,13,74.896,
cw-ursae-majoris,CW Ursae Majoris,43.6,,167.9646833333333,33.536970833333335,M3.5V C,,,,74.884,
lp-890-27,LP 890-27,43.6,,66.6356875,-30.802598333333336,M4.5,,14.1,13.4,74.863,
bd-46-1889,BD+46 1889,43.6,,204.85017083333335,46.18821944444444,M1.0V,,,,74.799,
