id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
hd-154577,HD 154577,44.8,,257.54378333333335,-60.72615305555556,K2.5Vk:,0.68,7.4,6.7,72.854,
gliese-3779,Gliese 3779,44.8,,200.73347916666668,24.4638225,M4V C,0.27,,,72.727,
2mass-j0857-5708,2MASS J0857+5708,44.9,,134.49037083333332,57.14589222222222,L7V,,,,72.72,
g-125-30,G 125-30,44.9,,296.4593916666667,32.38800777777778,M1.5Ve,,10.9,10.2,72.7,
g-18-49,G 18-49,44.9,,336.7625125,6.825575,M4.09,,,-0.7,72.682,
v439-andromedae,V439 Andromedae,44.9,,1.6552250000000002,29.02071361111111,K0Ve,0.889,,,72.642,
2mass-j0314-1603,2MASS J0314+1603,44.9,,48.513220833333335,16.05127638888889,L0,,,,72.631,
l-387-102,L 387-102,44.9,,126.79826249999999,-44.98692138888889,M3,,11.9,11.2,72.614,
gliese-1001-a,Gliese 1001 A,40.156,,1.1558208333333333,-40.740825,M3.5,0.3,12.8,12.4,81.223,
gliese-1001-b,Gliese 1001 B,40.156,,1.1558208333333333,-40.740825,L5,0.06,,,81.223,
55-cancri-a,55 Cancri A,41.053,,133.14678333333336,28.329783055555556,G8V,1.015,6,5.4,79.448,
55-cancri-b,55 Cancri B,41.053,,133.14678333333336,28.329783055555556,M4.5V,0.255,13.2,12.6,79.448,
24-g-virginis-a,24 G. Virginis A,41.636,,180.18565833333332,-10.448271944444445,G8IV,0.98,5.6,5,78.336,
24-g-virginis-b,24 G. Virginis B,41.636,,180.18565833333332,-10.448271944444445,M4V,0.21,,,78.336,
gliese-4360-a,Gliese 4360 A,42.86,,354.53269166666666,-16.23651361111111,M2V,0.3,11.3,10.7,76.098,
gliese-4360-b,Gliese 4360 B,42.86,,354.53269166666666,-16.23651361111111,M5,0.15,,,76.098,
gliese-865-a,Gliese 865 A,42.989,,339.6239958333333,-65.37850611111111,M3Ve,0.4,11.4,10.8,75.87,
gliese-865-b,Gliese 865 B,42.989,,339.6239958333333,-65.37850611111111,M4e D,0.4,,,75.87,
gliese-3304-a,Gliese 3304 A,43.105,,69.5547125,28.21620861111111,M4.5 V,0.2,,,75.666,
gliese-3304-b,Gliese 3304 B,43.105,,69.5547125,28.21620861111111,M4.5 V,0.15,,,75.666,
capella-aa,Capella Aa,43.515,,79.35000833333334,45.83779583333334,G3III:,2.569,0.1,-0.5,74.952,
capella-ab,Capella Ab,43.515,,79.35000833333334,45.83779583333334,K0III,2.483,,,74.952,
capella-h,Capella H,43.515,,79.35000833333334,45.83779583333334,M2.5 V,0.57,,,74.952,
capella-l,Capella L,43.515,,79.35000833333334,45.83779583333334,M4,0.53,13.7,13.1,74.952,
upsilon-andromedae-a,Upsilon Andromedae A,43.96,,24.198354166666668,41.40376166666667,F9V,1.27,4.1,3.4,74.194,
upsilon-andromedae-d,Upsilon Andromedae D,43.96,,24.198354166666668,41.40376166666667,M4.5V,0.2,,,74.194,
85-pegasi,85 Pegasi A,40.177,,0.5467041666666667,27.077648611111112,G5VbFe-2,0.88,5.8,5.3,81.179,
85-pegasi-b,85 Pegasi B,40.177,,0.5467041666666667,27.077648611111112,,0.55,,,81.179,
hd-175224,HD 175224 A,40.261,,284.37741666666665,-55.99386888888889,K5Ve,0.7,9.8,9.3,81.011,
hd-175224-b,HD 175224 B,40.261,,284.37741666666665,-55.99386888888889,K7Ve,0.7,10.1,9.7,81.011,
lspm-j0746-2000,LSPM J0746+2000 A,40.316,,116.67709166666667,20.009058888888887,L0,0.07,,,80.9,
lspm-j0746-2000-b,LSPM J0746+2000 B,40.316,,116.67709166666667,20.009058888888887,L1.5,0.06,,,80.9,
wolf-940,Wolf 940 A,40.397,,326.671875,-0.1755172222222222,dM4.0,0.27,12.7,12.2,80.738,
wolf-940-b,Wolf 940 B,40.397,,326.671875,-0.1755172222222222,T8+/Y?,0.025,,,80.738,
vb-24,VB 24 A,40.844,,235.02237083333333,43.492803611111114,M3V,0.4,12.5,12,79.854,
vb-24-b,VB 24 B,40.844,,235.02237083333333,43.492803611111114,M4,0.2,13.8,13.3,79.854,
lds-390a,LDS 390A,41.558,,182.798,-19.961394166666665,dM3.0,0.35,11.7,11.2,78.481,
lds-390a-b,LDS 390B,41.558,,182.798,-19.961394166666665,M2.5V,0.4,12.6,12.1,78.481,
l-115-21,L 115-21,41.926,,301.0211958333333,-65.60411916666666,M5V,0.2,11.3,10.8,77.794,
l-115-21-b,L 115-22,41.926,,301.0211958333333,-65.60411916666666,M3.5,0.3,,,77.794,
l-186-67,L 186-67,42.013,,125.69451250000002,-57.445901666666664,M4.5,0.2,,,77.632,
l-186-67-b,L 186-66,42.013,,125.69451250000002,-57.445901666666664,,0.1,,,77.632,
hd-147513,HD 147513,42.049,,246.00580416666662,-39.19296555555555,G5V C,1.11,5.4,4.8,77.565,
hd-147513-b,CD-38 10980,42.049,,246.00580416666662,-39.19296555555555,DA2,0.7,11,10.5,77.565,
44-bootis,44 Boötis A,42.221,,225.9470666666667,47.65406194444444,G0Vnv,1.04,5.1,4.6,77.25,
44-bootis-b,44 Boötis B,42.221,,225.9470666666667,47.65406194444444,G9V,0.9,6,5.5,77.25,
44-bootis-c,44 Boötis C,42.221,,225.9470666666667,47.65406194444444,K4V,0.7,,,77.25,
36-ursae-majoris,36 Ursae Majoris A,42.222,,157.6552,55.98039388888889,F8V,1.121,,,77.249,
36-ursae-majoris-b,36 Ursae Majoris B,42.222,,157.6552,55.98039388888889,K7Ve,0.7,,,77.249,
bd-27-4120,BD+27 4120 A,42.768,,324.5040208333333,27.723454166666667,,0.5,10,9.5,76.262,
bd-27-4120-b,BD+27 4120 B,42.768,,324.5040208333333,27.723454166666667,,0.2,,,76.262,
ross-486,Ross 486 A,42.984,,202.08852083333335,-2.3625011111111114,dM3.0,0.4,11.3,10.7,75.878,
ross-486-b,Ross 486 B,42.984,,202.08852083333335,-2.3625011111111114,,0.2,13.7,13.1,75.878,
cd-31-909,CD-31 909,43.736,,34.17523333333334,-30.987291111111112,M3Ve,0.4,12,11.4,74.574,
cd-31-909-b,CD-31 908,43.736,,34.17523333333334,-30.987291111111112,M4,0.3,13.2,12.5,74.574,
g-192-11,G 192-11,43.992,,89.90740416666667,58.59188277777778,M0.0V,0.6,,,74.14,
g-192-11-b,G 192-12,43.992,,89.90740416666667,58.59188277777778,M4.2V,0.3,,,74.14,
hd-120476,HD 120476 A,44.019,,207.26459583333332,26.979435,K4V,0.7,8,7.4,74.094,
hd-120476-b,HD 120476 B,44.019,,207.26459583333332,26.979435,K6V,0.7,8,7.4,74.094,
theta-ursae-majoris,Theta Ursae Majoris A,44.178,,143.20757500000002,51.674906111111106,F6IV,1.41,3.2,2.5,73.828,
