id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
ross-848,Ross 848,45.1,,215.02797083333334,-9.624114444444444,M4,,12.9,12.2,72.324,
gaia-edr3-3902745286187581312,Gaia EDR3 3902745286187581312,45.1,,187.23714166666667,8.424237777777778,,,,,72.266,
l-106-15,L 106-15,45.1,,211.03407083333335,-66.24391083333333,M3,,,,72.26,
lp-788-1,LP 788-1,45.2,,142.84301666666667,-17.295090277777778,M6.5,,,,72.18,
2massi-j1300-1912,2MASSI J1300+1912,45.2,,195.17332916666666,19.204062222222223,L1.7V,,,,72.14,
wt-887,WT 887,45.3,,333.46146666666664,-63.70202305555556,M5/6e,,,,72.075,
scr-j0736-3024,SCR J0736-3024,45.3,,114.237375,-30.40616,,,13.7,13,72.07,
gaia-dr2-3433674040729266048,Gaia DR2 3433674040729266048,45.3,,95.87118333333333,28.76445,,,,,72.04,
47-ursae-majoris,47 Ursae Majoris,45.3,,164.86472083333334,40.430501111111106,G1-VFe-0.5 B,1.08,,,72.007,
g-65-39,G 65-39,45.3,,213.88232499999998,4.655318888888889,M5.69,,,,72.004,
lspm-j0617-8353,LSPM J0617+8353,45.3,,94.27236666666667,83.89316083333334,M3.5Ve,,,,72,
wise-0323-6025,WISE 0323-6025,45.3,,50.90654166666667,-60.431805555555556,T8.5,,18.2,17.4,72,
pm-j04429-2128,PM J04429+2128,45.4,,70.73297083333334,21.473566111111108,M3.5Ve,,11.9,11.2,71.904,
10-tauri,10 Tauri,45.4,,54.21726666666667,0.39952472222222224,F9IV-V,1.139,4.3,3.6,71.837,
hd-281621,HD 281621,45.4,,62.158666666666676,33.63759666666667,K7V,,10.2,9.5,71.822,
g-44-43,G 44-43,45.4,,163.056275,5.919129166666667,M5.40,,14.8,14.1,71.796,
l-489-3,L 489-3,45.5,,277.350725,-34.96362305555556,,,12,11.3,71.759,
hd-23356,HD 23356,45.5,,55.98209166666667,-19.110199444444447,K2V,,7.1,6.4,71.751,
scr-j1626-3812,SCR J1626-3812,45.5,,246.7137,-38.2102025,,,15.8,15,71.737,
hd-5133,HD 5133,45.5,,13.257925,-30.356773055555557,K2.5Vk:,,7.2,6.5,71.726,
l-174-28,L 174-28,45.5,,39.470675,-58.75214694444445,M3V,,12.5,11.7,71.704,
g-245-71,G 245-71,45.5,,50.35122916666667,79.96854444444445,M2.0Ve,,,,71.659,
lp-411-6,LP 411-6,45.5,,41.640812499999996,16.416971944444445,M6.0V,,,,71.605,
lspm-j1015-1729,LSPM J1015+1729,45.6,,153.97614166666668,17.490880555555556,M3.5Ve,,,,71.545,
toi-540,TOI-540,45.6,,76.30969166666665,-47.937535555555556,,0.159,14.4,13.6,71.513,
l-465-84,L 465-84,45.6,,159.93481250000002,-37.92043722222222,M2Ve,,11.1,10.3,71.51,
g-204-39,G 204-39,45.6,,269.4622958333333,46.591216111111116,M2.5V,,11.6,10.9,71.495,
pm-j14551-3006,PM J14551+3006,45.6,,223.798025,30.112254166666666,,,13.8,13,71.471,
ross-802,Ross 802,45.6,,234.24224583333333,-14.136617222222222,dM4.0,,12.7,12,71.466,
wise-0723-3403,WISE 0723+3403,45.7,,110.80183333333335,34.053749999999994,T9:,,,,71.369,
ross-987,Ross 987,45.7,,109.53285833333334,39.27428805555555,M0V,,10.3,9.6,71.323,
l-611-67,L 611-67,45.7,,169.15438333333336,-27.95891111111111,M4,,13.1,12.4,71.312,
2mass-j0643-0223,2MASS J0643-0223,45.7,,100.90305833333333,-2.3879694444444444,,,,,71.303,
lp-837-53,LP 837-53,45.8,,88.93165833333333,-26.856545555555556,M2.5V,,10.8,10.1,71.261,
wolf-1039,Wolf 1039,45.8,,353.5094833333333,0.17524277777777778,M2/3V,,11.2,10.4,71.234,
bd-19-381,BD+19 381,45.8,,38.973333333333336,20.219260277777774,M3V,,10.6,9.9,71.216,
wisea-j1055-1652,WISEA J1055-1652,45.8,,163.97334999999998,-16.871198055555556,T9.5,,,,71.21,
lp-885-35,LP 885-35,45.8,,33.7874875,-30.668656111111112,M8,,,,71.162,
