id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
l-617-35,L 617-35,45.9,,200.90545,-25.91356638888889,M3.5,,12.9,12.1,71.119,
g-215-50,G 215-50,45.9,,337.4612166666667,41.48216138888889,M4V,,,,71.111,
hd-120467,HD 120467,45.9,,207.42832916666666,-22.11328888888889,K6Va,0.73,8.2,7.4,71.078,
g-184-24,G 184-24,45.9,,281.34498333333335,18.865092500000003,M4.0V,,,,71.05,
g-270-1,G 270-1,45.9,,7.899145833333334,-5.874989722222223,M3.68,,12.8,12,71.024,
2mass-j1013-7842,2MASS J1013-7842,45.9,,153.35853749999998,-78.71648805555556,L3,,,,71.011,
2mass-j0031-5749,2MASS J0031+5749,45.9,,7.788666666666668,57.82677777777778,L9,0.023,,,71,
2mass-j1007-4555,2MASS J1007-4555,45.9,,151.89043333333333,-45.92075305555555,T5,,,,71,
2massi-j0318-3421,2MASSI J0318-3421,45.9,,49.72745416666667,-34.35793555555556,L7 C,,,,70.981,
ross-863,Ross 863,46,,256.779,21.55390611111111,M3V,,11.7,10.9,70.968,
wise-0819-0335,WISE 0819-0335,46,,124.99191666666665,-3.5912555555555556,T4,,15,14.2,70.9,
wise-2209-2734,WISE 2209-2734,46,,332.341875,-27.577761111111112,T7,,16.8,16.1,70.9,
wise-2237-7228,WISE 2237+7228,46,,339.33495833333336,72.47605555555556,T6,,,,70.903,
lp-322-628,LP 322-628,46,,196.71058333333332,30.84621611111111,M6V,,15.4,14.7,70.896,
pm-j07472-5020,PM J07472+5020,46,,116.807675,50.34438111111111,M4.0V,,13.1,12.3,70.877,
pm-j04061-0534,PM J04061-0534,46,,61.52875416666666,-5.579705555555555,M3.5V,,13.3,12.6,70.87,
eggr-535,EGGR 535,46,,159.73020833333334,-20.680003333333335,DQ10P,,16.3,15.5,70.838,
sdss-j00001354-2554186,SDSS J000013.54+255418.6,46.1,,0.0563625,25.905569444444442,T4.5,0.046,,,70.8,
gaia-edr3-2799992744809482112,LP 349-25,46.1,,6.985283333333333,22.324902777777776,M8Ve,,,,70.781,
cd-43-9546,CD-43 9546,46.1,,225.31934166666667,-43.65850777777778,M3Ve,,10.8,10,70.753,
18-scorpii,18 Scorpii,46.1,,243.9063625,-8.371641111111112,G2Va,1.03,5.5,4.8,70.737,
bd-67-552,BD+67 552,46.2,,129.09379583333333,67.29524138888888,M0.5Ve,,,,70.619,
cd-48-12818,CD-48 12818,46.2,,284.7820916666667,-48.276651666666666,M4V,0.46,11.1,10.4,70.595,
lp-735-29,LP 735-29,46.2,,191.00091249999997,-11.1757875,M4.5V,,14.2,13.4,70.572,
2mass-j14392836-1929149,2MASS J1439+1929,46.2,,219.86145833333333,19.489464166666668,L1V,,,,70.555,
lspm-j0357-4107,LSPM J0357+4107,46.3,,59.33205,41.12839694444445,M7V,,,,70.508,
wt-795,WT 795,46.3,,324.10845,-44.019709444444445,,,14.4,13.6,70.492,
lehpm-2-2758,LEHPM 2-2758,46.3,,159.68435833333334,-86.54629277777778,,,,,70.461,
bd-16-2658,BD+16 2658,46.4,,217.36889166666666,15.538414166666666,M2/3V,,10.7,9.9,70.325,
hd-150689,HD 150689,46.4,,251.06245833333335,-38.94390277777777,K3V,,7.5,6.7,70.322,
lsr-j0556-1144,LSR J0556+1144,46.4,,89.24088333333333,11.741022777777777,M5.5V,,,,70.315,
hd-234078,HD 234078,46.5,,208.00294583333334,49.95029111111111,K7V,,,,70.149,
pm-j19164-8413,PM J19164+8413,46.5,,289.101625,84.22869527777777,M5.0V,,,,70.141,
hd-173818,HD 173818,46.5,,281.862975,-3.6410555555555555,K5V,0.62,8.8,8,70.133,
gliese-480,Gliese 480,46.5,,189.71329166666666,11.695035833333334,M3.5Ve,0.45,11.5,10.7,70.114,
l-374-6,L 374-6,46.6,,66.23362083333335,-40.04937638888889,M3,,14.1,13.3,70.063,
lp-994-33,LP 994-33,46.6,,45.523325,-39.850616111111115,,,16.1,15.3,70.043,
lp-831-1,LP 831-1,46.6,,43.666512499999996,-22.266581944444443,M3,,13,12.2,70.04,
pm-j02133-3648,PM J02133+3648,46.6,,33.33580833333333,36.81403805555555,M4.5V,,14.1,13.3,70.02,
wisea-j0335-4310,WISEA J0335+4310,46.6,,53.81258750000001,43.17920611111111,T9,,,,70,
cd-28-16676,CD-28 16676,46.6,,306.9225875,-27.75160111111111,M3,,11.4,10.7,69.96,
lspm-j0501-2237,LSPM J0501+2237,46.7,,75.32478333333333,22.615360000000003,M5V,,,,69.888,
2mass-j0049-6518,2MASS J0049+6518,46.7,,12.348179166666666,65.30023638888889,,,,,69.88,
g-123-55,G 123-55,46.7,,190.70460833333334,41.896609166666664,M4.0V,,12.4,11.6,69.84,
g-173-37,G 173-37,46.7,,31.767679166666664,49.643504166666666,M3.5V,,,,69.832,
g-240-23,G 240-23,46.7,,250.08280416666668,67.60293999999999,M7V,,,,69.821,
l-37-56,L 37-56,46.7,,161.90032083333332,-79.46369777777778,M3,,13.5,12.7,69.819,
lp-846-15,LP 846-15,46.7,,143.617875,-26.72420888888889,,,14,13.2,69.812,
lp-732-94,LP 732-94,46.8,,170.45275833333335,-13.219297222222222,M8.5V,,19.6,18.8,69.67,
2mass-j1448-1031,2MASS J1448+1031,46.8,,222.10785833333333,10.532546944444444,L5.5,,23.3,22.5,69.635,
lp-229-30,LP 229-30,46.8,,280.8415,40.67522333333333,M7.5Ve,,,,69.635,
eta-cephei,Eta Cephei,46.9,,311.32321666666667,61.842419166666666,K0IV,1.6,3.4,2.6,69.598,
ross-93,Ross 93,46.9,,145.97887500000002,26.968552499999998,M3.5Ve,,14,13.2,69.588,
cpd-58-7400,CPD-58 7400,46.9,,277.54979583333335,-58.276285,M1V,,9.8,9,69.561,
hd-23453,HD 23453,46.9,,56.58584583333333,26.214633055555556,M1V,,,,69.514,
2mass-j05053461-4648017,2MASS J0505+4648,46.9,,76.39420416666665,46.80056388888889,,,,,69.5,
g-32-35,G 32-35,46.9,,8.986279166666666,10.474820833333334,M5V,,,,69.469,
g-252-25,G 252-25,47,,134.9988,72.95993277777778,M5V,,,,69.456,
vvv-j1411-5920,VVV J1411-5920,47,,212.99728750000003,-59.34609722222223,,,14.6,13.8,69.441,
wise-0223-2932,WISE 0223-2932,47,,35.843291666666666,-29.549341666666667,T7.5,,,,69.4,
wise-0500-1223,WISE 0500-1223,47,,75.012625,-12.395258333333333,T8,,17.8,17,69.395,
wise-1812-2721,WISE 1812+2721,47,,273.045125,27.362294444444444,T8.5:,,18.2,17.4,69.395,
cd-38-1058,CD-38 1058,47,,48.13120416666667,-38.085680833333335,M3,,11.5,10.7,69.387,
wolf-1373,Wolf 1373,47.1,,314.3593666666667,22.36177638888889,M3V,,12,11.2,69.298,
pi1-ursae-majoris,Pi1 Ursae Majoris,47.1,,129.79849166666665,65.02129694444444,G0.5V,0.9,5.6,4.8,69.258,
hd-184489,HD 184489,47.1,,293.66836666666666,4.583896388888888,M0V,,9.3,8.5,69.257,
wisep-j1258-4412,WISEP J1258-4412,47.1,,194.52043333333333,-44.20903611111111,T6,,,,69.248,
2massi-j2325-4251,2MASSI J2325+4251,47.1,,351.4385541666667,42.862164722222225,L8,,,,69.228,
g-265-8,G 265-8,47.1,,19.9245375,84.16122555555556,M5,,,,69.212,
vb-16,VB 16,47.1,,102.2738875,37.10695777777778,M4,,,,69.202,
rx-j1935-3746,RX J1935+3746,47.2,,293.87094583333334,37.76851666666666,M3.0V,,,,69.125,
l-68-30,L 68-30,47.2,,190.57116249999999,-71.63898361111112,M3.5,,,,69.1,
lspm-j1431-7526,LSPM J1431+7526,47.2,,217.80245000000002,75.44491944444445,M4.0V,,,,69.035,
wolf-906,Wolf 906,47.3,,315.49334583333336,-6.320708333333333,M2.5V,,11.3,10.5,69.022,
pm-j10382-4933,PM J10382-4933,47.3,,159.56110833333332,-49.564880277777775,,,,,69.008,
pg-1633-434,PG 1633+434,47.3,,248.7573375,43.29208833333333,DAZ7.6,,,,68.991,
cd-36-2458,CD-36 2458,47.3,,86.92334166666666,-36.32911222222223,M1.5,,10.7,9.9,68.971,
lp-731-76,LP 731-76,47.3,,164.61576666666667,-10.775511388888889,M5.0V,,14.5,13.7,68.962,
wise-0744-5628,WISE 0744+5628,47.3,,116.23866666666667,56.47253333333334,T8,,,,69,
hd-110833,HD 110833,47.3,,191.05783749999998,51.7584525,K3,,,,68.952,
lp-624-54,LP 624-54,47.3,,243.604975,-2.8485755555555556,M5.0V,,,,68.949,
lp-119-26,LP 119-26,47.3,,79.22398749999999,56.67019027777778,,,,,68.933,
hd-216133,HD 216133,47.3,,342.5804708333333,-7.089644166666666,M0.5V,,9.8,9,68.93,
gat-1383,GAT 1383,47.3,,321.137825,40.06853305555556,M5.5V,,,,68.921,
bd-30-2512,BD+30 2512,47.4,,215.48520833333333,29.628244722222224,K6V,,,,68.851,
pm-j08446-4805,PM J08446-4805,47.5,,131.15987916666666,-48.08563138888889,,,13.9,13.1,68.701,
sips-j0527-5129,SIPS J0527-5129,47.5,,81.87715,-51.48627888888889,,,,,68.657,
wolf-414,Wolf 414,47.5,,187.24005416666668,8.425305277777777,M4V,,12,11.2,68.62,
hip-79431,HIP 79431,47.5,,243.17427916666665,-18.876454444444445,M3V C,0.49,11.4,10.5,68.61,
2mass-j16150413-1340079,2MASS J16150413+1340079,47.5,,243.76723333333334,13.668868888888888,T6,,,,68.6,
ucac4-638-030976,UCAC4 638-030976,47.6,,89.76638333333332,37.45721916666667,,,15.7,14.9,68.57,
g-7-34,G 7-34,47.6,,64.3278375,8.821105277777777,M5V,,13.8,13,68.562,
72-herculis,72 Herculis,47.6,,260.16560833333335,32.4631175,G0V,1.18,5.4,4.6,68.558,
l-154-205,L 154-205,47.6,,251.98354583333332,-65.15367027777778,,,,,68.555,
2mass-j1043-1213,2MASS J1043+1213,47.6,,160.89620416666668,12.220825,L9,,,,68.5,
g-154-52,G 154-52,47.6,,273.8022916666667,-19.403616666666665,M2,,11,10.2,68.472,
l-291-115,L 291-115,47.6,,8.308120833333334,-47.55395583333333,M5,,15.8,14.9,68.466,
2mass-j1807-5015,2MASS J1807+5015,47.6,,271.8165875,50.25817861111111,L1,,,,68.466,
ag-10-687,AG+10 687,47.6,,91.61125416666667,10.747946944444443,F0,,8.9,8.1,68.46,
l-257-129,L 257-129,47.6,,200.517625,-55.0170275,,,13.8,12.9,68.456,
ross-1047,Ross 1047,47.6,,227.39564583333333,3.1689591666666663,M2V,0.41,11.5,10.6,68.45,
g-98-7,G 98-7,47.7,,83.21490833333334,33.827735555555556,M3.5V,,,,68.414,
pm-j00580-3919,PM J00580+3919,47.7,,14.504225,39.319874722222224,M4.5V,,15.1,14.2,68.389,
ross-1057,Ross 1057,47.7,,235.31899166666668,75.9927275,M3.5Ve,,,,68.35,
g-36-26,G 36-26,47.7,,39.1837125,22.672279722222225,M5.0V,,,,68.34,
psi-capricorni,Psi Capricorni,47.7,,311.5236333333333,-25.271595555555553,F5V,1.37,4.1,3.3,68.337,
2mass-j1346-0031,2MASS J1346-0031,47.8,,206.69313333333335,-0.5305919444444445,T6,,,,68.3,
gliese-1214,Gliese 1214,47.8,,258.83149166666664,4.960575277777778,M4V,0.178,14.7,13.9,68.299,
lp-412-31,LP 412-31,47.8,,50.25045416666667,18.905182777777778,M8V,,18.9,18.1,68.269,
g-140-51,G 140-51,47.8,,274.1307458333333,4.881193333333334,M5V,,,,68.248,
g-252-13,G 252-13,47.8,,127.88484166666666,73.06393,M4.0Ve,,,,68.214,
gaia-dr2-5825187972369019264,Gaia DR2 5825187972369019264,47.8,,229.59385833333334,-64.82011527777777,,,,,68.19,
wt-84,WT 84,47.8,,34.36638333333333,-59.380857222222225,M5.5Ve,,15.7,14.8,68.181,
upm-j0409-4435,UPM J0409-4435,47.8,,62.384683333333335,-44.59376805555556,,,14.3,13.4,68.181,
hd-196761,HD 196761,47.9,,310.0514166666667,-23.77181583333333,G7.5IV-V,0.81,6.4,5.5,68.156,
lspm-j1341-0500,LSPM J1341+0500,47.9,,205.33892083333333,5.01282,DC,,,,68.155,
lp-593-68,LP 593-68,47.9,,57.7501625,-0.8812338888888889,M8.0V,,18,17.2,68.122,
bd-40-45,BD+40 45,47.9,,4.2799000000000005,40.94866833333333,K7,,,,68.085,
ross-627,Ross 627,47.9,,171.04909999999998,21.359804444444446,DA6.8,,,,68.042,
wolf-1421,Wolf 1421,47.9,,117.0751625,20.363715833333334,M1.5Ve,,11.4,10.6,68.033,
lp-768-113,LP 768-113,48,,23.4919125,-17.640773333333332,dM4.0,,13,12.2,68.019,
2massw-j1036-3441,2MASSW J1036-3441,48,,159.22089166666666,-34.69601722222222,L6,,,,67.961,
gaia-edr3-4114677389434590720,Gaia EDR3 4114677389434590720,48,,259.66226666666665,-22.832832222222223,,,,,67.936,
hd-19305,HD 19305,48,,46.61315416666667,1.961063888888889,M0V,,9.1,8.2,67.934,
g-95-30,G 95-30,48,,50.75898333333333,42.004398888888886,M5V,,,,67.882,
lp-315-42,LP 315-42,48,,152.92263333333332,28.76323861111111,DQ,,,,67.879,
nu2-lupi,Nu2 Lupi,48.1,,230.43980416666665,-48.31885583333334,G3/5V,0.86,5.7,4.8,67.847,
hd-142709,HD 142709,48.1,,239.41824166666666,-42.6250825,K4V,,8.1,7.2,67.843,
gliese-259,Gliese 259,48.1,,105.30824166666667,-25.948559444444445,K1V,,6.7,5.9,67.801,
lp-191-43,LP 191-43,48.1,,2.2323083333333336,49.31654361111111,M5.5V,,,,67.762,
bd-33-529,BD+33 529,48.2,,43.03510833333333,34.384950555555555,K4,,,,67.674,
lp-326-21,LP 326-21,48.2,,221.0711,30.035773333333335,M8e,,,,67.655,
g-50-6,G 50-6,48.2,,117.96612083333332,5.547391666666667,M5.08,,,,67.621,
lp-278-42,LP 278-42,48.2,,267.8976666666667,37.82801861111111,M5V,,,,67.611,
g-192-22,G 192-22,48.2,,93.50716249999999,51.66846972222222,M3.5Ve,,,,67.601,
ross-136,Ross 136,48.3,,275.5224958333333,6.344266944444444,M4V,,,,67.541,
gaia-edr3-2312821266302222720,Gaia EDR3 2312821266302222720,48.3,,0.6679083333333333,-34.231052222222225,DC,,14.9,14.1,67.529,
l-125-51,L 125-51,48.3,,32.81861249999999,-63.229573611111114,M3,,,,67.524,
lp-726-1,LP 726-1,48.3,,130.70075,-13.787113055555555,DZ10,,15.7,14.9,67.522,
gliese-833,Gliese 833,48.3,,324.17485833333336,-50.846272222222225,K1V,0.77,7.2,6.3,67.5,
ucac4-563-099325,UCAC4 563-099325,48.3,,298.80792083333336,22.41632972222222,,,15.6,14.8,67.47,
hd-144628,HD 144628,48.4,,242.42725416666664,-56.44366694444444,K2V,,7.1,6.3,67.447,
gliese-794,Gliese 794,48.4,,308.58922083333334,25.061315555555556,DA2.4,0.64,11.5,10.7,67.408,
wg-22,WG 22,48.4,,189.70361666666665,-49.80039,DA4.2,,14,13.1,67.406,
hd-218511,HD 218511,48.4,,347.41692499999994,-67.73377305555556,K6V,,8.4,7.5,67.396,
l-358-24,L 358-24,48.4,,345.89837083333333,-46.846387222222226,,,13.9,13,67.36,
2mass-j1331-0116,2MASS J1331-0116,48.5,,202.9537,-1.2812530555555555,L6V,,,,67.3,
sips-j1540-2613,SIPS J1540-2613,48.5,,235.1177,-26.23362416666667,,,,,67.274,
g-45-27,G 45-27,48.5,,165.33670416666666,3.002994722222222,M5V,,14.1,13.2,67.263,
gaia-edr3-5970971561918864768,Gaia EDR3 5970971561918864768,48.5,,251.32060833333333,-38.80950138888888,,,,,67.233,
lhs-3844,LHS 3844,48.5,,340.49637500000006,-69.17220916666668,M4.5-M5,0.151,15.2,14.4,67.212,
lp-553-59,LP 553-59,48.6,,178.470925,6.9949852777777775,M8V,,,,67.139,
cd-26-16501,CD-26 16501,48.6,,347.56915000000004,-25.931194722222223,M2V,,11.2,10.4,67.101,
lp-299-36,LP 299-36,48.6,,48.553537500000004,28.674319444444446,M6,,,,67.068,
ogle-blg-ecl-314964,OGLE BLG-ECL-314964,48.6,,271.7881875,-29.495844444444444,,,19.2,18.3,67.06,
31-aquilae,31 Aquilae,48.7,,291.2458166666666,11.947271111111112,G7IVHdel1,1.16,,,67.015,
ross-1041,Ross 1041,48.7,,223.61711666666667,35.545428611111106,M3.5Ve,,,,66.992,
lp-449-10,LP 449-10,48.7,,271.70247083333334,17.34717388888889,M4.0V,,,,66.982,
hd-84117,HD 84117,48.8,,145.55813333333333,-23.914401388888887,F9V,1.09,4.9,4.1,66.883,
eta-leporis,Eta Leporis,48.8,,89.10105,-14.167080833333333,F2V,1.42,3.7,2.8,66.857,
gliese-378,Gliese 378,48.8,,150.58643333333333,48.08224666666667,M1V C,0.56,,,66.845,
g-149-94,G 149-94,48.8,,202.62708333333333,19.15375583333333,M5V,,,,66.831,
lhs-1140,LHS 1140,48.8,,11.248716666666667,-15.27419138888889,M4.5V,0.184,14.2,13.3,66.829,
lp-48-305,LP 48-305,48.9,,343.1675583333333,75.07131416666667,M4.5V,,,,66.761,
g-251-58,G 251-58,48.9,,123.42725833333333,79.30137055555555,M5V,,14.8,13.9,66.715,
l-356-105,L 356-105,48.9,,336.27438333333333,-47.88254055555556,M3.5,,12.5,11.6,66.714,
g-170-62,G 170-62,49,,266.51756666666665,24.653626666666664,M4V,,,,66.605,
ce-303,CE 303,49,,197.34116666666668,-23.511634444444443,M7e,,,,66.604,
lspm-j1048-0111,LSPM J1048+0111,49,,162.1764666666667,1.1984772222222222,L1,,,,66.589,
ucac3-85-1637,UCAC3 85-1637,49,,11.4244,-47.558161388888884,,,,,66.573,
g-15-2,G 15-2,49,,225.33416666666668,5.5467941666666665,M3.0Ve,,12.3,11.4,66.543,
l-404-10,L 404-10,49,,214.3556,-40.30420222222222,M3,,12.4,11.5,66.536,
lp-779-10,LP 779-10,49,,90.59403333333333,-20.326460833333332,M3.5,,13.3,12.4,66.516,
alpha-cephei,Alpha Cephei,49,,319.6449083333333,62.58557444444445,A8Vn,2,2.5,1.6,66.5,
2mass-j0742-2055,2MASS J0742+2055,49,,115.505425,20.92219,T5,,,,66.5,
lp-549-6,LP 549-6,49.1,,149.73465416666667,5.966340555555556,M4.5V,,14.7,13.8,66.486,
2mass-j1921-2915,2MASS J1921-2915,49.1,,290.3767291666667,-29.262924722222223,,,,,66.483,
sips-j0004-2058,SIPS J0004-2058,49.1,,1.1764208333333332,-20.974587777777778,,,,,66.481,
pm-j01439-0654,PM J01439-0654,49.1,,25.9946625,-6.913531388888889,M3,,12.6,11.7,66.475,
hd-200779,HD 200779,49.1,,316.3326416666667,7.066791666666666,K6V,,8.3,7.4,66.463,
lp-575-35,LP 575-35,49.1,,310.85145416666666,4.764685833333333,M5V,,,,66.455,
wolf-1457,Wolf 1457,49.1,,84.00082083333332,-7.647490555555555,dM4.0,,12.8,11.9,66.443,
g-252-33,G 252-33,49.1,,140.31681666666665,73.10919055555554,M5V,,,,66.439,
scr-j1826-6542,SCR J1826-6542,49.1,,276.6951583333333,-65.71112111111111,,,17.4,16.5,66.4,
bd-63-137,BD+63 137,49.1,,16.79981666666667,63.942746111111106,K7V C,,,,66.367,
2mass-j2137-0808,2MASS J2137+0808,49.1,,324.4089416666667,8.146564999999999,L5,,,,66.365,
bd-02-1729,BD+02 1729,49.2,,114.84535416666668,2.1825730555555554,M0.0Ve,,9.6,8.7,66.337,
2mass-j1203-0015,2MASS J1203+0015,49.2,,180.98684583333332,0.2626630555555556,L5.0V,,,,66.273,
scr-j2016-7531,SCR J2016-7531,49.2,,304.05134166666664,-75.51776,,,15.8,14.9,66.232,
lp-925-8,LP 925-8 A,49.3,,291.97007916666666,-28.189748055555555,,,,,66.218,
gt-pegasi,GT Pegasi,49.3,,342.97583750000007,31.754005555555555,M3.5V,,,,66.205,
hd-118926,HD 118926,49.3,,205.02800416666665,-4.183966666666667,K5V,,9.6,8.7,66.201,
g-248-32,G 248-32,49.3,,77.07782916666667,75.63746055555556,M4.5V,,14.1,13.2,66.2,
g-138-43,G 138-43,49.3,,249.02121250000002,8.812978055555556,M4V,,,,66.155,
hd-122742,HD 122742,49.3,,210.885175,10.78538611111111,G6V,0.96,6.3,5.4,66.147,
g-139-27,G 139-27,49.3,,259.1695291666666,8.05809138888889,M2.5Ve,,11.5,10.6,66.134,
lsr-j1817-1328,LSR J1817+1328,49.3,,274.2750791666667,13.468650833333333,DA10,,15.9,15,66.11,
upm-j0151-4652,UPM J0151+4652,49.3,,27.9146375,46.87796222222222,,,15.1,14.2,66.1,
gliese-163,Gliese 163,49.4,,62.32309166666668,-53.371095555555556,M3.5V,0.3,11.8,10.9,66.071,
g-108-22,G 108-22,49.4,,100.55579166666666,3.5907869444444445,M4,,,,66.06,
1rxs-j153250.6-541037,1RXS J153250.6-541037,49.4,,233.21082916666668,-54.17483027777777,M4,,,,65.986,
g-108-21,G 108-21,49.4,,100.5468375,3.5801352777777775,M3V,,,,65.976,
gliese-317,Gliese 317,49.5,,130.2444958333333,-23.452696944444444,M2.5 V,0.42,12,11.1,65.877,
lp-491-51,LP 491-51,49.5,,165.83770833333335,13.632847222222223,M3.0V,,,,65.844,
hd-229793,HD 229793,49.6,,282.96225000000004,16.581141388888888,M0V,,10.1,9.2,65.759,
lspm-j1652-6304,LSPM J1652+6304,49.6,,253.20760416666667,63.07812361111112,M4.5V,,,,65.751,
l-188-9,L 188-9,49.6,,139.21180833333335,-55.93171722222222,,,,,65.747,
hd-38858,HD 38858,49.6,,87.14588333333333,-4.095664166666666,G2V,0.886,6,5.1,65.745,
wolf-1108,Wolf 1108,49.6,,293.7315291666667,53.25870138888889,M2.5Ve,,,,65.745,
l-182-44,Gliese 238,49.6,,98.45480833333333,-58.52492111111111,M2.5,0.419,11.6,10.7,65.722,
g-272-118,G 272-118,49.6,,28.5336,-15.60751111111111,M4.0V,,14.4,13.5,65.706,
gaia-edr3-5826576346314528768,Gaia EDR3 5826576346314528768,49.7,,233.65527916666667,-64.34263361111111,,,,,65.681,
wt-766,WT 766,49.7,,315.2808166666666,-49.12363166666667,M4.5,,13.3,12.4,65.65,
g-197-50,G 197-50,49.7,,183.08994166666665,54.49017305555556,M4.12,,13.5,12.6,65.601,
2mass-j1632-1904,2MASS J1632+1904,49.7,,248.12132916666673,19.07797611111111,L8V,,,,65.6,
l-440-30,L 440-30,49.7,,34.79971666666666,-36.77567888888889,M2.5+V,,11.6,10.7,65.585,
g-77-29,G 77-29,49.7,,47.90363333333333,-4.278627222222222,M3.0,,13.4,12.5,65.584,
hd-238090,HD 238090,49.7,,183.08870833333333,54.48616583333333,K5V C,0.578,,,65.579,
nu-phoenicis,Nu Phoenicis,49.8,,18.80056666666667,-45.53087333333333,F9VFe+0.4,1.17,5,4,65.527,
g-151-34,G 151-34,49.8,,227.9565,-10.239464722222221,M4.5,,14.3,13.3,65.504,
g-159-46,G 159-46,49.8,,33.23010000000001,0.0048111111111111115,M4V,,13.6,12.7,65.493,
l-396-10,L 396-10,49.8,,174.59837916666663,-41.37543138888889,M3.5,,13.7,12.8,65.489,
sips-j1607-0442,SIPS J1607-0442,49.8,,241.8801125,-4.704552777777778,M8e,,,,65.487,
g-87-32,G 87-32,49.8,,109.07457500000001,33.15094833333333,M5V,,,,65.476,
ry-sextantis,RY Sextantis,49.8,,159.00215,5.120786666666667,M4V,,12.6,11.7,65.471,
l-541-21,L 541-21,49.8,,178.2958541666667,-31.399535,M4,,13.6,12.7,65.461,
gliese-1081,Gliese 1081,49.8,,83.32982499999999,44.81637222222222,M3V,,,,65.44,
