id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas,iau_name
gliese-784,Gliese 784,20.1062,Telescopium,303.47249999999997,-45.163888888888884,M0V,0.58,7.97,,162.2171,
wise-j2209-2711,WISE J2209+2711,20.17,Pegasus,332.27374999999995,27.195555555555554,Y0,0.011,,,161.7,
gliese-1221,Gliese 1221,20.2588,Draco,267.0341666666667,70.87638888888888,DXP9,0.81,14.22,,160.9952,
gliese-555,Gliese 555,20.3947,Libra,218.57,-12.519444444444446,M4.0V,0.291,10.3–10.33,,159.9225,
gliese-581,Gliese 581,20.5494,Libra,229.86166666666668,-7.722222222222222,M3.0V,0.31,10.56–10.58,,158.7183,
wise-1405-5534,WISE 1405+5534,20.62,Ursa Major,211.32625000000002,55.572500000000005,Y0.5,0.029,,,158.2,
lhs-2090,LHS 2090,20.7388,Cancer,135.09833333333333,21.834722222222222,M6.5V,0.09,16.10,,157.2686,
2mass-1503-2525,2MASS 1503+2525,20.94,Boötes,225.83166666666668,25.422222222222224,T5.5,,,,155.7758,
lp-944-20,LP 944-20,20.9615,Fornax,54.89666666666667,-35.428888888888885,M9V,0.07,18.69,,155.5982,
gliese-2232,Gliese 223.2,21.0102,Orion,88.78958333333334,-4.168611111111112,DZ11,0.45,14.45,,155.2373,
gl-virginis,GL Virginis,21.0832,Virgo,184.74750000000003,11.126111111111111,M5Ve,0.12,13.79,,154.6999,
gliese-625,Gliese 625,21.1309,Draco,246.35250000000002,54.30416666666667,M2.0V,0.37,10.17,,154.3503,
gliese-1128,Gliese 1128,21.2121,Carina,145.69291666666663,-68.885,M4.0V,0.17,12.78,,153.7593,
gliese-892,Gliese 892,21.3364,Cassiopeia,348.3208333333333,57.16833333333333,K3V,0.85,5.574,,152.864,
wise-0825-2805,WISE 0825+2805,21.37,Cancer,126.28083333333333,28.096944444444443,Y0.5,,,,152.6,
