id,name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
gliese-229-ba,Gliese 229 Ba,18.7906,Lep,92.64416666666666,-21.864722222222223,T7,0.036,14.01 J,15.21 J,173.574
gliese-229-bb,Gliese 229 Bb,18.7906,Lep,92.64416666666666,-21.864722222222223,T8,0.033,14.01 J,15.21 J,173.574
sigma-draconis,Alsafi,18.7993,Dra,293.09000000000003,69.66111111111111,K0 V,0.85,4.67,5.87,173.4939
ross-47,Ross 47,18.8883,Ori,85.53875,12.489166666666666,M4 V,0.35,11.57,12.76,172.6762
wise-1541-2250,WISE 1541−2250&,18.93,Lib,235.465,-22.840277777777775,Y0.5,0.011,20.99 J,22.10 J,172.3
33-g-librae-a,33 G. Librae A,19.1987,Lib,224.36666666666665,-21.415555555555553,K4 V,0.802,5.64,6.79,169.8843
33-g-librae-b,33 G. Librae B,19.1987,Lib,224.36666666666665,-21.415555555555553,M1.5 V,0.55,8.30,9.45,169.8843
33-g-librae-c,33 G. Librae C,19.1987,Lib,224.36666666666665,-21.415555555555553,M,0.35,9.96,11.11,169.8843
33-g-librae-d,33 G. Librae D,19.1987,Lib,224.36666666666665,-21.415555555555553,T7.5,0.05,15.32 J,16.47 J,169.8843
gliese-693,Gliese 693,19.2078,Pav,266.635,-57.31916666666667,M3 V,0.26,10.76,11.91,169.8042
gliese-754,Gliese 754,19.2724,Tel,290.19999999999993,-45.55833333333333,M4 V,0.173,12.23,13.37,169.2351
gliese-908,Gliese 908,19.2745,Psc,357.3020833333333,2.401111111111111,M1 V,0.37,8.98,10.12,169.2163
gliese-752-a,Gliese 752 A,19.2922,Aql,289.23041666666666,5.1688888888888895,M2.5 V,0.46,9.10,10.24,169.0615
gliese-752-b,Gliese 752 B,19.2922,Aql,289.23999999999995,5.150555555555556,M8 V,0.075,17.45,18.59,169.0615
gliese-588,Gliese 588,19.2996,Lup,233.05375,-41.275555555555556,M2.5 V,0.43,9.31,10.45,168.9965
eta-cassiopeiae-a,Achird,19.3314,Cas,12.276250000000001,57.81527777777777,G3 V,0.972,3.46,4.60,168.7186
eta-cassiopeiae-b,Eta Cassiopeiae B,19.3314,Cas,12.276250000000001,57.81527777777777,K7 V,0.57,7.51,8.65,168.7186
36-ophiuchi-a,Guniibuu,19.4185,Oph,258.83708333333334,-26.602500000000003,K1.5 V,0.85,5.07,6.20,167.9617
36-ophiuchi-b,36 Ophiuchi B,19.4185,Oph,258.8375,-26.602777777777778,K1 V,0.85,5.08,6.21,167.9617
36-ophiuchi-c,36 Ophiuchi C,19.4185,Oph,259.05583333333334,-26.546111111111113,K5 V,0.71,6.32,7.45,167.9617
yz-canis-minoris,YZ Canis Minoris,19.533,CMi,116.1675,3.5524999999999998,M4 V,0.308,11.19,12.30,166.9769
gliese-1005-a,Gliese 1005 A,19.577,Cet,3.8670833333333334,-16.133888888888887,M3.5 V,0.179,11.60,12.71,166.6
gliese-1005-b,Gliese 1005 B,19.577,Cet,3.8670833333333334,-16.133888888888887,M V,0.112,14.02,15.13,166.6
279-g-sagittari-a,279 G. Sagittari A,19.609,Sgr,302.79970833333334,-36.10111111111111,K2.5 V,0.65,5.31,6.41,166.3272
279-g-sagittari-b,279 G. Sagittari B,19.609,Sgr,302.79970833333334,-36.10111111111111,M4 V,0.24,11.50,12.60,166.3272
82-g-eridani,82 G. Eridani,19.7045,Eri,49.98208333333333,-43.069722222222225,G8 V,0.7,4.26,5.35,165.5242
qy-aurigae-a,QY Aurigae A,19.7414,Aur,107.5075,38.529444444444444,M4.5 V,0.226,12.05,13.14,165.2147
qy-aurigae-b,QY Aurigae B,19.7414,Aur,107.5075,38.529444444444444,M V,0.192,12.45,13.54,165.2147
delta-pavonis,Delta Pavonis,19.893,Pav,302.1816666666667,-66.18194444444445,G8 IV,1.051,3.55,4.62,163.9544
simp-j013656-5-093347,SIMP J013656.5+093347&,19.955,Psc,24.23541666666667,9.563055555555556,T2.5,0.012,13.25 J,14.32 J,163.4478
2mass-0937-2931,2MASS 0937+2931,19.96,Leo,144.39541666666665,29.528055555555554,T7,0.04,14.65 J,15.71 J,163.39
2mass-j1812-2608,2MASS J1812-2608,11.6,,273.05175,-26.13401,T,0.015,,,282.199
wise-j05351680-7500249,WISE J053516.80-750024.9,13,,83.82004166666667,-75.00692111111111,Y1:+,,21.1,23.1,250
den-1048-3956,DEN 1048-3956,13.2,,162.05389583333334,-39.93962583333333,L0,0.074,17.5,19.5,247.216
wise-j0722-0540,WISE J0722-0540,13.3,,110.6125,-5.675336111111111,T9,0.017,,,246
gaia-dr2-4129144660321847040,Gaia DR2 4129144660321847040,13.4,,255.11357916666665,-18.832930555555556,,,,1.9,243.67
2mass-j0429-3806,2MASS J0429+3806,14.4,,67.35704583333333,38.102650000000004,,0.015,,1.8,227
den-0255-4700,DEN 0255-4700,15.9,,43.7719875,-47.01672833333333,T8.5,0.04,22.9,24.5,205.425
2mass-j1540-5101,2MASS J1540-5101,17.4,,235.1952083333333,-51.028101388888885,M6.5 V,0.09,,,187.729
2mass-j0254-0223,2MASS J0254+0223,17.6,,43.53285833333333,2.3989861111111113,T8,0.062,,,185
wise-1541-2250,WISE 1541-2250,19.5,,235.464875,-22.84028611111111,Y0.5,0.011,,,166.9
gaia-dr2-5312099874809857024,Gaia DR2 5312099874809857024,19.6,,141.90485833333332,-53.28514027777778,,,,,166.8
