name,distance_ly,constellation,ra_deg,dec_deg,spectral_class,mass_msun,app_mag,abs_mag,parallax_mas
Gliese 867 A,28.8668,Aquarius,339.69,-20.621111111111112,M0Vep,,,,112.9867
Gliese 867 B,28.8668,Aquarius,339.69,-20.621111111111112,M3.5V,,,,112.9867
Gliese 867 C,28.8668,Aquarius,339.69,-20.621111111111112,,,,,112.9867
Gliese 867 D,28.8668,Aquarius,339.69,-20.621111111111112,,,,,112.9867
Ross 695,28.9469,Corvus,186.21875,-18.242222222222225,M2,0.23,11.272,,112.674
SCR J0630-7643 A,28.951,Mensa,97.69416666666667,-76.71916666666667,M6.0,,14.8,15.1,112.6584
SCR J0630-7643 B,28.951,Mensa,97.69416666666667,-76.71916666666667,M,,,,112.6584
DENIS 0334-49,28.963,Horologium,53.55083333333333,-49.89222222222222,M9V,0.07,,,112.61
2MASS 0727+1710,28.99,Gemini,111.82583333333334,17.166944444444447,T7,0.039,,,112.5
Gamma Leporis A,29.0004,Lepus,86.11583333333333,-22.448333333333334,F6V,,3.59,,112.4661
Gamma Leporis B,29.0004,Lepus,86.11583333333333,-22.448333333333334,K2V,,6.17,,112.4661
WISE1810,29.03,Serpens,272.52575,-10.166805555555555,esdT8-esdT9,,,,112.5
GJ 2066,29.155,Hydra,124.03333333333335,1.3025,M2.0V,0.46,10.091,,111.8698
LHS 224 A,29.43,Lynx,105.98208333333332,52.70194444444445,M5.0Ve,,,,110.8263
LHS 224 B,29.43,Lynx,105.98208333333332,52.70194444444445,M,,,,110.8263
SZ Ursae Majoris,29.588,Ursa Major,170.02,65.84638888888888,M2V,,,0.2,110.2305
Gliese 433,29.6045,Hydra,173.86208333333335,-32.54,M2V,0.48,9.8,10,110.1711
Delta Eridani,29.644,Eridanus,55.812083333333334,-9.763333333333334,KIV,1.33,3.52,,110.0254
Gliese 508 Aa,29.65,Canes Venatici,199.93958333333333,47.778055555555554,M2V,,8.54,,109.9837
Gliese 508 Ab,29.65,Canes Venatici,199.93958333333333,47.778055555555554,,,,,109.9837
Gliese 508 B,29.65,Canes Venatici,199.93958333333333,47.778055555555554,,,,,109.9837
GJ 3146,29.664,Aries,34.125,13.586944444444445,M5.0Ve,0.052,,,109.95
LHS 1126,29.6701,Cetus,10.358333333333334,-22.350555555555555,DQ9,0.52,14.6,14.8,109.9276
V374 Pegasi,29.6898,Pegasus,330.3045833333333,28.306944444444444,M3.5Ve,,,,109.8548
2MASSI J0652307+471034,29.714,Auriga,103.12791666666668,47.17638888888889,L4.5,,,,109.7651
WT 460 A,29.723,Centaurus,212.99958333333333,-41.53944444444444,M5.5e,,,,109.7323
WT 460 B,29.723,Centaurus,212.99958333333333,-41.53944444444444,,,,,109.7323
Gliese 283 A,29.8285,Puppis,115.08666666666667,-17.41361111111111,DAZ6,0.62,13.061,,109.344
Gliese 283 B,29.8285,Puppis,115.08666666666667,-17.41361111111111,M6.5V,,16.696,,109.344
WISE 0713−2917,29.84,Canis Major,108.34416666666667,-29.297777777777778,Y0,,,,109.3
2MASS J03552337+1133437,29.88,Taurus,58.8475,11.562222222222223,L5γ,0.027,,,109.1381
WISEP J213456.73-713743.6,29.9,Indus,323.73625,-71.62916666666666,T9pec,,,,109.1
Groombridge 1830,29.9145,Ursa Major,178.245,37.718611111111116,G8VIp,,6.42,,109.0296
GJ 3801,29.98,Canes Venatici,205.68041666666664,33.29,M4V,,13.896,14.1,108.7903
Beta Comae Berenices,29.998,Coma Berenices,197.96833333333333,27.878055555555555,G0V,1.15,4.23,,108.725
